unit_number,time_cycles,sensor,sensor_label,value,value_smoothed,fleet_median
3,67,BPR,BPR — bypass ratio (rises with wear),8.427,8.446,8.419
3,68,BPR,BPR — bypass ratio (rises with wear),8.502,8.447,8.42
3,69,BPR,BPR — bypass ratio (rises with wear),8.425,8.449,8.42
3,70,BPR,BPR — bypass ratio (rises with wear),8.43,8.445,8.42
3,71,BPR,BPR — bypass ratio (rises with wear),8.433,8.446,8.419
3,72,BPR,BPR — bypass ratio (rises with wear),8.42,8.446,8.42
3,73,BPR,BPR — bypass ratio (rises with wear),8.457,8.446,8.422
3,74,BPR,BPR — bypass ratio (rises with wear),8.42,8.443,8.419
3,75,BPR,BPR — bypass ratio (rises with wear),8.452,8.442,8.418
3,76,BPR,BPR — bypass ratio (rises with wear),8.451,8.442,8.417
3,77,BPR,BPR — bypass ratio (rises with wear),8.427,8.442,8.419
3,78,BPR,BPR — bypass ratio (rises with wear),8.439,8.435,8.42
3,79,BPR,BPR — bypass ratio (rises with wear),8.455,8.438,8.42
3,80,BPR,BPR — bypass ratio (rises with wear),8.426,8.438,8.419
3,81,BPR,BPR — bypass ratio (rises with wear),8.413,8.436,8.42
3,82,BPR,BPR — bypass ratio (rises with wear),8.464,8.44,8.421
3,83,BPR,BPR — bypass ratio (rises with wear),8.433,8.438,8.422
3,84,BPR,BPR — bypass ratio (rises with wear),8.472,8.443,8.42
3,85,BPR,BPR — bypass ratio (rises with wear),8.441,8.442,8.421
3,86,BPR,BPR — bypass ratio (rises with wear),8.436,8.441,8.422
3,87,BPR,BPR — bypass ratio (rises with wear),8.427,8.441,8.423
3,88,BPR,BPR — bypass ratio (rises with wear),8.466,8.443,8.423
3,89,BPR,BPR — bypass ratio (rises with wear),8.472,8.445,8.423
3,90,BPR,BPR — bypass ratio (rises with wear),8.504,8.453,8.424
3,91,BPR,BPR — bypass ratio (rises with wear),8.453,8.457,8.423
3,92,BPR,BPR — bypass ratio (rises with wear),8.468,8.457,8.423
3,93,BPR,BPR — bypass ratio (rises with wear),8.426,8.456,8.423
3,94,BPR,BPR — bypass ratio (rises with wear),8.444,8.454,8.426
3,95,BPR,BPR — bypass ratio (rises with wear),8.47,8.457,8.426
3,96,BPR,BPR — bypass ratio (rises with wear),8.449,8.458,8.426
3,97,BPR,BPR — bypass ratio (rises with wear),8.448,8.46,8.424
3,98,BPR,BPR — bypass ratio (rises with wear),8.462,8.46,8.425
3,99,BPR,BPR — bypass ratio (rises with wear),8.454,8.458,8.426
3,100,BPR,BPR — bypass ratio (rises with wear),8.43,8.45,8.428
3,101,BPR,BPR — bypass ratio (rises with wear),8.439,8.449,8.427
3,102,BPR,BPR — bypass ratio (rises with wear),8.45,8.447,8.428
3,103,BPR,BPR — bypass ratio (rises with wear),8.456,8.45,8.428
3,104,BPR,BPR — bypass ratio (rises with wear),8.498,8.456,8.428
3,105,BPR,BPR — bypass ratio (rises with wear),8.439,8.453,8.428
3,106,BPR,BPR — bypass ratio (rises with wear),8.448,8.452,8.429
3,107,BPR,BPR — bypass ratio (rises with wear),8.439,8.452,8.43
3,108,BPR,BPR — bypass ratio (rises with wear),8.451,8.45,8.429
3,109,BPR,BPR — bypass ratio (rises with wear),8.459,8.451,8.428
3,110,BPR,BPR — bypass ratio (rises with wear),8.471,8.455,8.429
3,111,BPR,BPR — bypass ratio (rises with wear),8.479,8.459,8.43
3,112,BPR,BPR — bypass ratio (rises with wear),8.478,8.462,8.429
3,113,BPR,BPR — bypass ratio (rises with wear),8.45,8.461,8.432
3,114,BPR,BPR — bypass ratio (rises with wear),8.432,8.455,8.433
3,115,BPR,BPR — bypass ratio (rises with wear),8.473,8.458,8.432
3,116,BPR,BPR — bypass ratio (rises with wear),8.462,8.459,8.433
3,117,BPR,BPR — bypass ratio (rises with wear),8.466,8.462,8.433
3,118,BPR,BPR — bypass ratio (rises with wear),8.452,8.462,8.434
3,119,BPR,BPR — bypass ratio (rises with wear),8.459,8.462,8.436
3,120,BPR,BPR — bypass ratio (rises with wear),8.461,8.461,8.436
3,121,BPR,BPR — bypass ratio (rises with wear),8.489,8.462,8.434
3,122,BPR,BPR — bypass ratio (rises with wear),8.498,8.464,8.435
3,123,BPR,BPR — bypass ratio (rises with wear),8.468,8.466,8.435
3,124,BPR,BPR — bypass ratio (rises with wear),8.455,8.468,8.432
3,125,BPR,BPR — bypass ratio (rises with wear),8.461,8.467,8.434
3,126,BPR,BPR — bypass ratio (rises with wear),8.412,8.462,8.433
3,30,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.57,47.533,47.316
3,31,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.59,47.539,47.314
3,32,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.58,47.54,47.332
3,33,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.54,47.55,47.326
3,34,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.69,47.576,47.336
3,35,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.41,47.548,47.333
3,36,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.55,47.557,47.341
3,37,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.53,47.552,47.331
3,38,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.6,47.552,47.335
3,39,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.55,47.561,47.33
3,40,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.57,47.561,47.338
3,41,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.49,47.551,47.329
3,42,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.36,47.529,47.334
3,43,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.5,47.525,47.334
3,44,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.59,47.515,47.339
3,45,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.57,47.531,47.342
3,46,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.55,47.531,47.348
3,47,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.56,47.534,47.344
3,48,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.58,47.532,47.35
3,49,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.54,47.531,47.36
3,50,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.68,47.542,47.365
3,51,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.4,47.533,47.358
3,52,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.43,47.54,47.358
3,53,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.6,47.55,47.358
3,54,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.52,47.543,47.352
3,55,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.63,47.549,47.348
3,56,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.45,47.539,47.344
3,57,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.69,47.552,47.352
3,58,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.6,47.554,47.35
3,59,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.49,47.549,47.348
3,60,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.45,47.526,47.351
3,61,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.59,47.545,47.342
3,62,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.57,47.559,47.34
3,63,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.59,47.558,47.344
3,64,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.43,47.549,47.348
3,65,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.37,47.523,47.348
3,66,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.43,47.521,47.36
3,67,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.49,47.501,47.35
3,68,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.66,47.507,47.35
3,69,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.72,47.53,47.363
3,70,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.5,47.535,47.364
3,71,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.43,47.519,47.36
3,72,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.48,47.51,47.379
3,73,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.59,47.51,47.382
3,74,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.61,47.528,47.372
3,75,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.54,47.545,47.382
3,76,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.67,47.569,47.375
3,77,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.68,47.588,47.379
3,78,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.58,47.58,47.378
3,79,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.7,47.578,47.38
3,80,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.68,47.596,47.375
3,81,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.7,47.623,47.381
3,82,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.45,47.62,47.384
3,83,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.71,47.632,47.392
3,84,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.59,47.63,47.392
3,85,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.58,47.634,47.391
3,86,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.49,47.616,47.384
3,87,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.76,47.624,47.385
3,88,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.62,47.628,47.39
3,89,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.6,47.618,47.402
3,90,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.56,47.606,47.399
3,91,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.42,47.578,47.396
3,92,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.41,47.574,47.397
3,93,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.49,47.552,47.394
3,94,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.64,47.557,47.406
3,95,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.61,47.56,47.407
3,96,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.63,47.574,47.406
3,97,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.45,47.543,47.415
3,98,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.53,47.534,47.419
3,99,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.5,47.524,47.425
3,100,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.55,47.523,47.428
3,101,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.58,47.539,47.442
3,102,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.61,47.559,47.44
3,103,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.53,47.563,47.442
3,104,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.78,47.577,47.447
3,105,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.59,47.575,47.437
3,106,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.75,47.587,47.44
3,107,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.57,47.599,47.436
3,108,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.59,47.605,47.437
3,109,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.6,47.615,47.441
3,110,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.59,47.619,47.442
3,111,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.68,47.629,47.439
3,112,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.66,47.634,47.457
3,113,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.58,47.639,47.467
3,114,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.82,47.643,47.471
3,115,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.68,47.652,47.47
3,116,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.66,47.643,47.47
3,117,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.81,47.667,47.471
3,118,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.73,47.681,47.476
3,119,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.46,47.667,47.485
3,120,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.88,47.696,47.478
3,121,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.64,47.692,47.487
3,122,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.75,47.701,47.482
3,123,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.67,47.71,47.48
3,124,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.61,47.689,47.484
3,125,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.62,47.683,47.479
3,126,Ps30,Ps30 — HPC outlet pressure (rises with wear),47.88,47.705,47.484
3,30,T50,T50 — LPT outlet temperature (rises with wear),1409.81,1405.866,1401.506
3,31,T50,T50 — LPT outlet temperature (rises with wear),1410.98,1406.277,1401.376
3,32,T50,T50 — LPT outlet temperature (rises with wear),1405.97,1406.639,1401.951
3,33,T50,T50 — LPT outlet temperature (rises with wear),1417.42,1407.723,1401.817
3,34,T50,T50 — LPT outlet temperature (rises with wear),1413.43,1408.902,1401.957
3,35,T50,T50 — LPT outlet temperature (rises with wear),1407.48,1408.857,1401.718
3,36,T50,T50 — LPT outlet temperature (rises with wear),1403.73,1409.073,1401.57
3,37,T50,T50 — LPT outlet temperature (rises with wear),1407.71,1409.154,1402.174
3,38,T50,T50 — LPT outlet temperature (rises with wear),1409.5,1409.649,1402.152
3,39,T50,T50 — LPT outlet temperature (rises with wear),1406.25,1409.228,1402.566
3,40,T50,T50 — LPT outlet temperature (rises with wear),1407.3,1408.977,1402.138
3,41,T50,T50 — LPT outlet temperature (rises with wear),1406.09,1408.488,1402.188
3,42,T50,T50 — LPT outlet temperature (rises with wear),1415.23,1409.414,1402.011
3,43,T50,T50 — LPT outlet temperature (rises with wear),1413.2,1408.992,1401.995
3,44,T50,T50 — LPT outlet temperature (rises with wear),1410.72,1408.721,1402.36
3,45,T50,T50 — LPT outlet temperature (rises with wear),1405.75,1408.548,1402.528
3,46,T50,T50 — LPT outlet temperature (rises with wear),1401.94,1408.369,1402.58
3,47,T50,T50 — LPT outlet temperature (rises with wear),1407.79,1408.377,1402.292
3,48,T50,T50 — LPT outlet temperature (rises with wear),1411.59,1408.586,1402.136
3,49,T50,T50 — LPT outlet temperature (rises with wear),1406.74,1408.635,1402.224
3,50,T50,T50 — LPT outlet temperature (rises with wear),1412.49,1409.154,1401.999
3,51,T50,T50 — LPT outlet temperature (rises with wear),1406.19,1409.164,1401.854
3,52,T50,T50 — LPT outlet temperature (rises with wear),1406.76,1408.317,1401.852
3,53,T50,T50 — LPT outlet temperature (rises with wear),1409.88,1407.985,1402.148
3,54,T50,T50 — LPT outlet temperature (rises with wear),1408.82,1407.795,1401.964
3,55,T50,T50 — LPT outlet temperature (rises with wear),1409.51,1408.171,1401.503
3,56,T50,T50 — LPT outlet temperature (rises with wear),1407.64,1408.741,1401.864
3,57,T50,T50 — LPT outlet temperature (rises with wear),1409.37,1408.899,1401.695
3,58,T50,T50 — LPT outlet temperature (rises with wear),1416.17,1409.357,1401.712
3,59,T50,T50 — LPT outlet temperature (rises with wear),1406.51,1409.334,1401.854
3,60,T50,T50 — LPT outlet temperature (rises with wear),1411.97,1409.282,1401.995
3,61,T50,T50 — LPT outlet temperature (rises with wear),1408.88,1409.551,1402.024
3,62,T50,T50 — LPT outlet temperature (rises with wear),1396.96,1408.571,1402.414
3,63,T50,T50 — LPT outlet temperature (rises with wear),1402.3,1407.813,1402.362
3,64,T50,T50 — LPT outlet temperature (rises with wear),1410.91,1408.022,1402.233
3,65,T50,T50 — LPT outlet temperature (rises with wear),1403.62,1407.433,1402.497
3,66,T50,T50 — LPT outlet temperature (rises with wear),1403.67,1407.036,1402.45
3,67,T50,T50 — LPT outlet temperature (rises with wear),1407.19,1406.818,1402.728
3,68,T50,T50 — LPT outlet temperature (rises with wear),1402.64,1405.465,1402.724
3,69,T50,T50 — LPT outlet temperature (rises with wear),1408.36,1405.65,1402.949
3,70,T50,T50 — LPT outlet temperature (rises with wear),1403.08,1404.761,1403.078
3,71,T50,T50 — LPT outlet temperature (rises with wear),1411.56,1405.029,1402.709
3,72,T50,T50 — LPT outlet temperature (rises with wear),1398.3,1405.163,1403.247
3,73,T50,T50 — LPT outlet temperature (rises with wear),1414.7,1406.403,1403.332
3,74,T50,T50 — LPT outlet temperature (rises with wear),1408.27,1406.139,1403.157
3,75,T50,T50 — LPT outlet temperature (rises with wear),1410.16,1406.793,1403.72
3,76,T50,T50 — LPT outlet temperature (rises with wear),1400.94,1406.52,1403.664
3,77,T50,T50 — LPT outlet temperature (rises with wear),1417.26,1407.527,1403.976
3,78,T50,T50 — LPT outlet temperature (rises with wear),1410.4,1408.303,1403.866
3,79,T50,T50 — LPT outlet temperature (rises with wear),1412.77,1408.744,1403.617
3,80,T50,T50 — LPT outlet temperature (rises with wear),1406.33,1409.069,1403.987
3,81,T50,T50 — LPT outlet temperature (rises with wear),1402.49,1408.162,1404.363
3,82,T50,T50 — LPT outlet temperature (rises with wear),1404.24,1408.756,1403.892
3,83,T50,T50 — LPT outlet temperature (rises with wear),1411.4,1408.426,1403.421
3,84,T50,T50 — LPT outlet temperature (rises with wear),1409.58,1408.557,1403.692
3,85,T50,T50 — LPT outlet temperature (rises with wear),1407.71,1408.312,1403.327
3,86,T50,T50 — LPT outlet temperature (rises with wear),1405.32,1408.75,1403.715
3,87,T50,T50 — LPT outlet temperature (rises with wear),1416.54,1408.678,1403.796
3,88,T50,T50 — LPT outlet temperature (rises with wear),1416.47,1409.285,1403.776
3,89,T50,T50 — LPT outlet temperature (rises with wear),1410.42,1409.05,1403.67
3,90,T50,T50 — LPT outlet temperature (rises with wear),1408.64,1409.281,1404.24
3,91,T50,T50 — LPT outlet temperature (rises with wear),1404.14,1409.446,1403.802
3,92,T50,T50 — LPT outlet temperature (rises with wear),1416.24,1410.646,1404.164
